part,trial,k,subset,err_sh,err_el,err_wr
P07,trial_12_L_unaffected,2,01,33.57439277087569,63.9648755696092,33.54200519857801
P07,trial_12_L_unaffected,2,02,28.23758229059504,54.31535522812628,30.052467810079207
P07,trial_12_L_unaffected,2,03,29.96862269700909,41.101456607314695,29.24681291196592
P07,trial_12_L_unaffected,2,04,73.05519439982068,45.279032404468836,32.49941354064317
P07,trial_12_L_unaffected,2,12,37.323488943781484,53.739136919469864,24.703205000055537
P07,trial_12_L_unaffected,2,13,38.88524850219782,44.622507905595846,26.807422222962565
P07,trial_12_L_unaffected,2,14,49.397996876508444,52.30216100825154,21.950063384368647
P07,trial_12_L_unaffected,2,23,47.83055991676085,68.45804031683022,38.13557801170065
P07,trial_12_L_unaffected,2,24,50.47125583802772,53.843982066166895,21.464412572913353
P07,trial_12_L_unaffected,2,34,48.25710215808113,48.09329731916722,25.82493488697203
P07,trial_12_L_unaffected,3,012,31.963521179608627,57.2016059715305,28.416216247345965
P07,trial_12_L_unaffected,3,013,31.616568399570102,45.16419348777792,24.355689482756667
P07,trial_12_L_unaffected,3,014,42.93948872585917,51.54100130869042,18.783061783458606
P07,trial_12_L_unaffected,3,023,29.538871260286356,48.17581809831378,26.832083571963594
P07,trial_12_L_unaffected,3,024,37.05015896586733,50.227986252189346,21.161517680810384
P07,trial_12_L_unaffected,3,034,35.7480767955656,39.937876756189254,24.192204089832625
P07,trial_12_L_unaffected,3,123,38.825729720909614,48.42946822127872,24.281683187701347
P07,trial_12_L_unaffected,3,124,45.88928965275116,51.94623048944843,20.026263384706603
P07,trial_12_L_unaffected,3,134,42.65590479641897,45.27052529252364,23.45811627814746
P07,trial_12_L_unaffected,3,234,48.917494519972536,49.413161763702135,23.10638552999012
P07,trial_12_L_unaffected,4,0123,31.84570845518302,48.90102015335844,23.74500040906388
P07,trial_12_L_unaffected,4,0124,38.15728177475156,51.8872159726987,19.25366309146671
P07,trial_12_L_unaffected,4,0134,37.01174103484937,44.4265107159832,21.766362584955267
P07,trial_12_L_unaffected,4,0234,36.08185981409969,46.261362718431585,22.485583110630333
P07,trial_12_L_unaffected,4,1234,43.52666703434204,47.874997877544544,21.842601631187094
P07,trial_12_L_unaffected,5,01234,36.82450114906759,47.520916067510306,20.82292483788187
P07,trial_13_L_unaffected,2,01,33.6587260263302,59.60206184153555,29.406427036715183
P07,trial_13_L_unaffected,2,02,30.07398157089541,55.35833540821439,26.838414825224255
P07,trial_13_L_unaffected,2,03,33.31921449204556,41.716726615628566,25.942188982003334
P07,trial_13_L_unaffected,2,04,74.71242378849342,45.867179265240026,28.190100855019757
P07,trial_13_L_unaffected,2,12,39.059259563473226,55.189296269747594,24.11009847474338
P07,trial_13_L_unaffected,2,13,40.94655186858452,45.79661001263818,24.121599503966294
P07,trial_13_L_unaffected,2,14,50.25686467622147,51.30593441380873,22.158917330309833
P07,trial_13_L_unaffected,2,23,48.58972440946422,67.2353196373786,30.7223465616801
P07,trial_13_L_unaffected,2,24,50.78387972173898,56.10247037147628,21.755489520573633
P07,trial_13_L_unaffected,2,34,49.71362342671976,47.33988618985368,24.206023778933865
P07,trial_13_L_unaffected,3,012,32.77917350018265,56.67844449755406,25.77485590921094
P07,trial_13_L_unaffected,3,013,33.93438681002216,45.34058026239918,21.888187285999333
P07,trial_13_L_unaffected,3,014,44.10598182842416,50.22064559297475,19.054999638561775
P07,trial_13_L_unaffected,3,023,32.39880495324119,49.79930815960684,23.805353344194312
P07,trial_13_L_unaffected,3,024,38.25969782705825,51.77771170991596,20.334385678948173
P07,trial_13_L_unaffected,3,034,38.18820169155345,41.27081194104077,22.420188107011203
P07,trial_13_L_unaffected,3,123,40.39311052983321,50.18352854755076,22.07219522762224
P07,trial_13_L_unaffected,3,124,46.63980901820276,52.919053779643086,20.070332645749307
P07,trial_13_L_unaffected,3,134,44.219278963606804,46.52452949193776,22.13334990775777
P07,trial_13_L_unaffected,3,234,49.9933125876946,52.15917154359948,22.484456524822573
P07,trial_13_L_unaffected,4,0123,33.86776187031918,49.89811009690459,21.546263466004515
P07,trial_13_L_unaffected,4,0124,39.07115624863127,52.27265275514118,18.966378042485157
P07,trial_13_L_unaffected,4,0134,38.83991428630766,45.08189772383707,20.42135264248068
P07,trial_13_L_unaffected,4,0234,37.9719577468088,48.271023312385466,21.13126886811368
P07,trial_13_L_unaffected,4,1234,44.81019478372424,49.84282654695807,20.90818336225134
P07,trial_13_L_unaffected,5,01234,38.38649539681886,48.80375004559267,19.7570427879768
P07,trial_14_L_unaffected,2,01,33.74618788755476,60.973513874322265,29.077301095787895
P07,trial_14_L_unaffected,2,02,30.44167002237457,53.01670193381673,27.579499075337164
P07,trial_14_L_unaffected,2,03,32.308428099583914,40.67105043061972,28.766572877064075
P07,trial_14_L_unaffected,2,04,74.40737590086246,48.80548492363563,32.983106772068496
P07,trial_14_L_unaffected,2,12,37.64476948874082,54.156604387742675,27.304382194252817
P07,trial_14_L_unaffected,2,13,39.02124949435498,45.80426064199317,27.074261558350468
P07,trial_14_L_unaffected,2,14,51.03092978195574,54.59031849765192,23.601940439565965
P07,trial_14_L_unaffected,2,23,48.58462780056542,66.01320080589876,36.83684741478584
P07,trial_14_L_unaffected,2,24,52.3769210080082,55.0102635472159,23.54044083801114
