part,trial,cam,rot_deg,axis,induced_reproj,base_reproj,err_sh,err_el,err_wr,base_err_wr,base_err_el,base_err_sh
P14,trial_47_R_unaffected,3,2.0,2,11.564814344364187,9.088123033163818,61.00140782720519,77.76577747042506,32.471500065460646,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,4.0,0,10.376545938946979,9.088123033163818,61.62087530892668,77.53109204850334,32.83301785516906,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,4.0,1,21.451104493729815,9.088123033163818,60.68976827170873,79.73315869089716,32.64239655468971,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,4.0,2,19.375436368170732,9.088123033163818,58.12089691025546,78.32513660887122,30.725094083400023,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,8.0,0,44.71711069547902,9.088123033163818,53.1027998800709,76.53670357081995,28.260435734014635,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,8.0,1,22.119312207702492,9.088123033163818,62.851823934606,79.14489422343685,34.47659524622959,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_47_R_unaffected,3,8.0,2,23.869587761549305,9.088123033163818,62.91397559802821,79.50493852444761,34.729474184831744,31.517823417890643,77.0921252221043,59.53693707330631
P14,trial_48_L_affected,0,0.5,0,11.516513623748658,11.65646862022333,40.46156171675424,84.7591623361398,43.29418955847457,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,0.5,1,11.777679558428652,11.65646862022333,40.52660604407692,84.31871898977164,42.85769087319843,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,0.5,2,11.853689086888835,11.65646862022333,40.011533509610786,83.08434791956975,41.27049609792591,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,1.0,0,11.982975106545085,11.65646862022333,40.478807837382334,84.68270945260424,42.915700285142776,42.37721276176425,84.01336813085025,40.27647521640376
P14,trial_48_L_affected,0,1.0,1,12.643956374074328,11.65646862022333,40.23832668932349,84.81880764704833,43.119709599164075,42.37721276176425,84.01336813085025,40.27647521640376
