part,trial,side,flexM,abdM,automq_flex,automq_abd,ijM,automq_ij,flexO,abdO,ijO
P08,38,R,36.5961282487099,27.761165047748825,39.24931028622281,35.11716064987265,0.9607783843958241,0.9657607702714548,32.663415309941385,32.07690052120401,0.959345184771907
P08,39,R,26.614761780331737,22.947660043024822,40.44102619226449,35.58709107060496,0.9647510155807547,0.9503167809448141,33.49107565285487,32.16186473793218,0.974029536545577
P08,3,R,,,41.040760203128656,34.49487100305783,,0.9703169627358176,33.31001618706194,31.856827567031928,0.9840457981089024
P08,40,R,37.61754101980284,25.910113323701882,39.99098651828131,35.33481393550176,0.979585387197031,0.9693500936385024,33.11358535113491,32.14650509779706,0.9694345092078067
P08,42,R,21.869118837480972,28.376194691249264,42.006071204239895,37.32066765420714,0.587104814901005,0.9592481004955059,35.054651903431704,34.58089086129656,0.9689319999975354
P08,44,R,38.478487688200204,27.8569724299377,43.19587317819733,37.05345235034754,0.9771911766060435,0.9669847536601549,35.94377629179097,33.91651958042392,0.9805513879034102
P08,46,R,37.255805006342214,29.306021089351173,42.24898407917606,39.21019073173715,0.9664948847124114,0.9549710797798606,34.62041445711511,36.04970276331214,0.9790763571491012
P08,47,R,24.192545738122885,27.327557494941175,41.48861353991586,39.18455689440779,0.9582722272627456,0.9625574918640724,34.029358287685305,35.96899210908484,0.983466873455286
P08,48,R,36.76407880476468,26.258480675073013,40.79584791665713,37.1113561852282,0.9744996745524392,0.9778425644936416,33.47627344890266,34.22389997570124,0.9748815119154925
P08,4,R,,,42.31800341282118,36.408499303486636,,0.97311847698926,35.16430673665139,33.92298151471607,0.9841666980424315
P08,50,L,33.84866126160105,39.11364812313842,50.25135120555086,44.53068041361557,0.9450416432007981,0.8175085466254159,44.04660826560595,42.35096065406741,0.9488393514289982
P08,51,L,36.785239297836355,37.199668408672906,45.625827310304764,40.17089922880927,0.9469189466597291,0.9493059188518825,37.336817105916666,38.843934529972685,0.9576483587006583
P08,52,L,37.19771257452631,40.44276408794918,49.171663484364636,42.98087153783991,0.9609060437850123,0.9679920459022545,40.66987371819029,41.99157532904404,0.9716488740529525
P08,53,L,26.427051367922985,37.290224119529455,47.179329184670884,43.76962976549217,0.696460291703337,0.947522858238869,38.395793269075455,42.58078334099924,0.963245888196439
P08,54,L,36.837799753336924,40.36958192698125,45.86677010953973,43.15948341927215,0.9444288832061076,0.9245925041346215,37.35631007098951,42.048566956716094,0.9534253818617948
P08,55,L,27.394173627695764,37.14973043254672,45.92648361444352,42.50929695722581,0.4819578891976686,0.9457132691594294,37.89129606070398,41.67929911754357,0.9659742090457727
P08,56,L,35.97217569671031,40.3572152141928,46.10233925483207,43.53698104771559,0.9606966093778956,0.9454267813165877,38.09164077257898,42.36843503199133,0.9712039970483484
P08,57,L,33.61281793830538,41.39678457575958,45.398759005242475,44.255835399628424,0.9682662528329331,0.945268844015872,37.505997471651895,42.8313213836257,0.9683347107356101
P08,58,L,43.269324850468756,40.89031381852246,49.171187824317,42.846131321300355,0.9513344100864768,0.9384145739875467,40.77134786866284,42.3569475805559,0.9639389705843056
P08,59,L,29.888045701196994,36.72655001678772,46.60322587474409,42.43932081051113,0.7799731593330991,0.9420947875384702,38.07039636985351,41.655436669689486,0.9686837607542469
P08,60,L,28.545456598375083,34.446970615205075,46.262780629053545,41.86447238428273,0.360469846916184,0.9712702661275566,38.163406182276724,40.82127591038328,0.9782521075524181
P08,61,L,37.15717431195468,39.61038029334959,44.69672543940163,43.26452410940343,0.9515286763096406,0.9596513147064473,36.48521586261107,41.82040050827891,0.9718942498007308
P08,62,L,24.570962376763863,33.72874401650708,43.28386397862616,40.90148737649166,0.7230304184395147,0.9268500551504697,35.50869763690774,39.9396267627352,0.9570259304485149
P08,63,L,31.78194994812133,37.71055776580604,43.47881600260972,41.082437929987954,0.9601083945077283,0.9495109842882006,35.999428176240585,39.89414479667005,0.9714206618004962
P08,64,L,26.18060405830743,36.03929543147078,44.08865618423911,42.70779235598122,0.6933495210952063,0.9519308597762315,36.50807853389795,41.71367289612719,0.964430039480865
P08,65,L,25.445211509959456,32.66018015301526,44.55547469866609,39.361654645041284,0.766142875220812,0.9569703590023022,37.21752845432646,38.48996917597017,0.9771016136508053
P08,67,L,25.98311032986033,35.25700938771227,44.34857185926322,42.3406704089493,0.32673400120457535,0.9560628601430526,37.04428364495,41.373763602768705,0.9743198776056475
