part,trial,side,mmc_flex,mmc_hipC_shLive,mmc_hipC_actLive,omc_vert,omc_trunk,omc_trunkc,lean
P08,75,L,40.13091808654671,40.476238194120704,56.86796688722557,46.519774384089445,43.51791604688102,42.49763500102099,5.359727229175564
P08,76,L,41.64958914442239,41.72502856775425,58.33374103130795,46.76660018350884,44.50545572358845,43.25578687869793,4.815576388707575
P08,77,L,40.92856501863355,41.297000002662095,57.4533871219225,47.426487277104684,44.41712003339977,43.608497280882034,4.857090818101526
P08,78,L,42.73350044733198,42.96531772327665,58.82265716068641,48.2154578413044,45.21552874364178,44.26469549645384,4.881653615635246
P08,79,L,36.498273000871514,37.54159994418309,57.56943604837833,49.0575625840011,45.62396850731854,44.99564426329906,5.4019537431838165
P08,7,R,36.406012099867695,36.933329944716064,48.874086932847135,49.48343873273939,42.01956128155525,42.64464724924316,7.224699700603825
P08,80,L,40.16513821005659,40.38908542189757,56.7011284659132,46.34304124106476,43.05758636044245,42.27876002434266,4.968549915556167
P08,81,L,32.32491156668231,32.849162077036716,51.910584815008775,45.92840280582155,42.63646359130937,41.86302058599706,5.01246255297767
P08,82,L,40.8745188461107,41.184697789467194,55.1079904258152,47.8831622113651,44.472951548274736,43.54776787898656,4.963323860271688
P08,83,L,41.25779438009268,41.75389251600694,55.93759724832708,47.332892830975815,44.562136679170465,43.459609266244186,4.549823370200844
P08,84,L,40.64894251354343,40.77850371232374,57.331259592732216,47.54695215525716,43.86682787567298,43.543903669484536,5.233983676507302
P08,85,L,36.93613191147995,37.044849460329885,55.39323113526201,48.567235972456515,44.70749511563769,44.03084603048822,5.312163696537095
P08,86,L,39.39305590018104,39.41013447402074,56.33245385130864,47.09530809889006,44.04287315008425,43.30293430978607,4.754536763937308
P08,87,L,32.9099564554852,33.77275682003962,53.224531498849736,46.04167816053171,41.94883699742349,41.41292412352147,5.338332211043902
P08,88,L,35.38543120720899,35.18208509036156,51.327588809496454,48.16341157750255,45.058027566325066,44.0230309899112,4.555409218471847
P08,89,L,41.114961069251244,41.18787067037235,58.145000507615684,47.72250261929781,44.51183981207271,43.669616895191986,5.026079043312403
P08,9,R,25.732006756965685,26.507952106948032,46.838662844332184,46.77583124077929,40.67838862795035,40.52633507225399,6.7129502189279044
P10,10,R,55.202173254212155,54.56216627339815,68.10790768628426,59.001759116305166,56.68890707265183,57.76376336807986,2.330312496730663
P10,11,R,58.40273860665322,57.07885191864324,70.53909809277016,61.12887777300299,57.28219609255813,59.48517268612768,3.438647188787291
P10,12,R,46.676418402795164,52.48701843064919,65.12638941228327,51.38673798846407,56.11531325714494,52.15962606704925,4.821364423660264
P10,13,R,47.00138925234256,51.79765786277454,63.24572960514011,51.271776197652486,54.1553088739281,52.05390125782806,4.214355763857533
P10,14,R,48.0504371970998,50.78990157061552,62.93328248029799,51.06158918790102,54.52429519001796,52.67732898721342,5.090322639134127
P10,15,R,50.4315602683413,53.091370879735315,65.63780058094883,52.68602462070665,55.68137085019335,54.18920861995882,5.47719375120118
P10,16,R,49.97092566944695,54.54115878836406,67.11453132172873,54.41014281402493,56.859295501815524,54.98965038552898,4.2875381879568835
P10,17,R,54.522511182989525,53.92442599454653,67.40224193496552,57.865564989815184,56.65833890768777,57.7420281457485,3.6309186434955025
P10,18,R,52.221811622594906,52.4543948044292,65.03396436306677,55.18088652969137,55.14707727845048,56.00101919876067,4.549828054609612
P10,19,R,55.23097022158818,54.31892503162614,67.78789443229866,57.3701866696317,56.653250193048635,57.540066441784404,3.7353094270513263
P10,1,R,49.953756843202775,54.14368767620044,65.56605532884183,52.043757460344814,56.65247995104067,51.71496749596137,2.673928605039536
P10,23,R,61.112619328090716,59.76623897234805,73.94567909868617,53.477322946468114,56.655303811615234,53.7786810433427,4.4269605257683695
P10,24,R,47.668551693885576,54.61748435343632,66.98782086938677,53.56760269325653,54.785132417002536,53.700573161820984,4.684724274501314
P10,25,R,47.00189626701235,51.95799880973857,64.64408535124149,53.616992868495004,53.181906348731104,53.44867225148076,3.147346738246737
