src,part,trial,drink_outside_hold,short_hold,short_drink,hold_touches_start,hold_touches_end,no_rest_pre,no_rest_post,cup_nan_frac,hand_nan_frac,no_track
mmc_c3kf_wr,P07,trial_42_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_42_L_unaffected,True,False,True,False,False,False,False,0.0,0.0,
omc,P07,trial_43_R_affected,False,False,False,False,False,False,False,0.0010775862068965517,0.0010775862068965517,
mmc,P07,trial_43_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_43_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_43_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_43_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_44_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_44_R_affected,False,False,False,False,False,False,False,0.0,0.0014044943820224719,
mmc_c3kf,P07,trial_44_R_affected,False,False,False,False,False,False,False,0.0,0.0014044943820224719,
mmc_c3kf_wr,P07,trial_44_R_affected,False,False,False,False,False,False,False,0.0,0.0014044943820224719,
mmc_c3kf_wr2,P07,trial_44_R_affected,False,False,False,False,False,False,False,0.0,0.0014044943820224719,
omc,P07,trial_46_R_affected,False,False,False,False,False,False,False,0.001321003963011889,0.001321003963011889,
mmc,P07,trial_46_R_affected,False,False,False,False,False,False,False,0.0,0.001321003963011889,
mmc_c3kf,P07,trial_46_R_affected,False,False,False,False,False,False,False,0.0,0.001321003963011889,
mmc_c3kf_wr,P07,trial_46_R_affected,False,False,False,False,False,False,False,0.0,0.001321003963011889,
mmc_c3kf_wr2,P07,trial_46_R_affected,False,False,False,False,False,False,False,0.0,0.001321003963011889,
omc,P07,trial_48_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_48_R_affected,False,False,False,False,False,False,False,0.0,0.0015313935681470138,
mmc_c3kf,P07,trial_48_R_affected,False,False,False,False,False,False,False,0.0,0.0015313935681470138,
mmc_c3kf_wr,P07,trial_48_R_affected,False,False,False,False,False,False,False,0.0,0.0015313935681470138,
mmc_c3kf_wr2,P07,trial_48_R_affected,False,False,False,False,False,False,False,0.0,0.0015313935681470138,
omc,P07,trial_49_R_affected,True,False,False,False,False,False,False,0.0014124293785310734,0.0014124293785310734,
mmc,P07,trial_49_R_affected,False,False,False,False,False,False,False,0.0,0.002824858757062147,
mmc_c3kf,P07,trial_49_R_affected,True,False,False,False,False,False,False,0.0,0.002824858757062147,
mmc_c3kf_wr,P07,trial_49_R_affected,True,False,False,False,False,False,False,0.0,0.002824858757062147,
mmc_c3kf_wr2,P07,trial_49_R_affected,True,False,False,False,False,False,False,0.0,0.002824858757062147,
omc,P07,trial_52_R_affected,False,False,False,False,False,False,False,0.0014577259475218659,0.0014577259475218659,
mmc,P07,trial_52_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_52_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_52_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_52_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_53_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc,P07,trial_53_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_53_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_53_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_53_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_54_R_affected,False,False,False,False,False,False,False,0.001557632398753894,0.001557632398753894,
mmc,P07,trial_54_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_54_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_54_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_54_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_55_R_affected,False,False,False,False,False,False,False,0.0014347202295552368,0.0014347202295552368,
mmc,P07,trial_55_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_55_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_55_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_55_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_56_R_affected,False,False,False,False,False,False,False,0.002699055330634278,0.002699055330634278,
mmc,P07,trial_56_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf,P07,trial_56_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr,P07,trial_56_R_affected,False,False,False,False,False,False,False,0.0,0.0,
mmc_c3kf_wr2,P07,trial_56_R_affected,False,False,False,False,False,False,False,0.0,0.0,
omc,P07,trial_57_R_affected,False,False,False,False,False,False,False,0.002886002886002886,0.002886002886002886,
