part,trial,mmc_min_drink,omc_min_drink,gap,ncam_drink,ncam_all,seq_mmc_drink onset,seq_omc_drink onset,seq_mmc_drink offset,seq_omc_drink offset,err,bad
P12,trial_63_R_affected,59.500813482425855,115.10553615064848,-55.60472266822262,1.0,1.0,229.0,211,345.0,348,18.0,False
P12,trial_64_R_affected,59.50555552241721,127.04030292670478,-67.53474740428757,1.0,0.6659574468085107,187.0,179,311.0,317,8.0,False
P12,trial_65_R_affected,60.341093261570855,117.59364274758849,-57.252549486017635,1.0,0.7663316582914573,190.0,187,244.0,258,14.0,False
P12,trial_66_R_affected,65.52722213186745,124.95627583292321,-59.429053701055764,1.0,0.9395973154362416,192.0,192,253.0,258,5.0,False
P12,trial_67_R_affected,65.64526040478087,119.9454659239901,-54.30020551920923,1.0,0.5513392857142857,222.0,203,276.0,283,19.0,False
P12,trial_68_R_affected,61.75691270741735,117.39785215355971,-55.64093944614236,1.0,0.7272727272727273,213.0,212,285.0,303,18.0,False
P12,trial_69_R_affected,64.2398371007771,122.19308853753267,-57.95325143675558,1.0,0.6252723311546841,179.0,180,271.0,284,13.0,False
P12,trial_6_L_unaffected,584.4162391141143,121.95696715182599,462.4592719622883,0.0,0.1491442542787286,154.0,181,276.0,263,27.0,False
P12,trial_70_R_affected,63.647678376211964,113.74623356597276,-50.098555189760795,1.0,0.9802197802197802,203.0,205,275.0,286,11.0,False
P12,trial_71_R_affected,60.34304861021179,132.7765605975252,-72.43351198731341,1.0,0.7943262411347518,197.0,161,259.0,260,36.0,True
P12,trial_72_R_affected,62.548287732455684,119.28775297794117,-56.73946524548548,1.0,0.6380510440835266,180.0,177,248.0,265,17.0,False
P12,trial_73_R_affected,58.91388728624658,117.0537906112348,-58.139903324988225,1.0,0.5909090909090909,187.0,183,280.0,290,10.0,False
P12,trial_74_R_affected,63.19286820610919,120.89286394338613,-57.69999573727694,1.0,0.7552447552447552,190.0,189,271.0,286,15.0,False
P12,trial_75_R_affected,63.354960661094225,113.84954858720222,-50.494587926108,1.0,0.5875299760191847,157.0,155,241.0,242,2.0,False
P12,trial_77_R_affected,62.446097159538304,116.6475003440317,-54.201403184493394,1.0,0.6418918918918919,208.0,208,288.0,301,13.0,False
P12,trial_78_R_affected,62.37222854952315,111.2100328129079,-48.83780426338475,1.0,0.556745182012848,209.0,211,308.0,316,8.0,False
P12,trial_7_L_unaffected,614.632097096949,109.44618206825857,505.18591502869043,0.0,0.5822784810126582,126.0,162,131.0,230,99.0,True
P12,trial_80_R_affected,61.239612026255564,109.68212983307461,-48.44251780681905,1.0,0.9980276134122288,205.0,207,322.0,325,3.0,False
P12,trial_81_R_affected,64.71195641955012,110.07510116346164,-45.36314474391152,1.0,0.6234042553191489,220.0,217,313.0,327,14.0,False
P12,trial_82_R_affected,67.77142805700144,105.48414937569075,-37.712721318689304,1.0,0.7701863354037267,225.0,213,314.0,312,12.0,False
P12,trial_8_L_unaffected,623.9307132692538,108.67180864657085,515.258904622683,0.0,0.5526932084309133,111.0,166,116.0,240,124.0,True
P12,trial_9_L_unaffected,614.5258137908056,106.69214212169659,507.83367166910904,0.0,0.07365439093484419,147.0,166,352.0,236,116.0,True
P13,trial_10_L_unaffected,73.07104042093457,133.8516521938351,-60.78061177290053,0.0,0.30663615560640733,175.0,172,239.0,257,18.0,False
P13,trial_11_L_unaffected,73.3587453324241,131.7888945340704,-58.4301492016463,0.0,0.2656641604010025,162.0,142,202.0,220,20.0,False
P13,trial_13_L_unaffected,77.47823233583617,127.51502103037615,-50.03678869453998,0.0,0.2582278481012658,161.0,140,198.0,218,21.0,False
P13,trial_14_L_unaffected,78.12870427689523,129.47455489724297,-51.34585062034773,0.0,0.29201101928374656,156.0,141,215.0,229,15.0,False
P13,trial_15_L_unaffected,81.16239772639801,134.9225683910678,-53.7601706646698,0.0,0.2979274611398964,156.0,156,219.0,240,21.0,False
P13,trial_16_L_unaffected,74.89355364879681,127.11326322274839,-52.219709573951576,0.0,0.2903225806451613,159.0,147,203.0,218,15.0,False
P13,trial_17_L_unaffected,71.3761458642032,129.43008531691152,-58.05393945270832,0.0,0.597911227154047,183.0,154,224.0,243,29.0,False
P13,trial_18_L_unaffected,77.4701713014208,128.87118447838796,-51.401013176967155,0.0,0.2777777777777778,163.0,167,241.0,257,16.0,False
P13,trial_19_L_unaffected,75.83939788483319,123.2621244370422,-47.422726552209014,0.0,0.2916666666666667,162.0,159,223.0,237,14.0,False
P13,trial_20_L_unaffected,54.84124978657393,130.42035038785482,-75.57910060128089,1.0,0.5951807228915663,155.0,153,215.0,229,14.0,False
P13,trial_21_L_unaffected,71.28996885965893,136.44584109288718,-65.15587223322825,0.0,0.5801526717557252,158.0,157,232.0,253,21.0,False
P13,trial_22_L_unaffected,78.0906734914117,128.76811447570105,-50.67744098428935,0.0,0.2871287128712871,173.0,154,224.0,242,19.0,False
P13,trial_23_L_unaffected,71.38030600689233,130.7228054461911,-59.34249943929878,0.0,0.2776470588235294,165.0,158,232.0,251,19.0,False
P13,trial_24_L_unaffected,70.58525184997941,126.82665248501019,-56.24140063503077,0.0,0.42572062084257206,156.0,145,240.0,255,15.0,False
P13,trial_25_L_unaffected,77.19664999801394,130.14833596659219,-52.951685968578246,0.0,0.3305785123966942,166.0,162,208.0,228,20.0,False
P13,trial_26_L_unaffected,78.76714588177882,128.6625084423555,-49.89536256057667,0.0,0.2765957446808511,149.0,145,212.0,231,19.0,False
P13,trial_27_L_unaffected,74.67247813317313,126.40213162015445,-51.72965348698132,0.0,0.31295843520782396,167.0,170,245.0,262,17.0,False
P13,trial_28_L_unaffected,78.28869101958374,121.62168650260743,-43.332995483023694,0.0,0.2997275204359673,164.0,170,218.0,225,7.0,False
P13,trial_29_L_unaffected,52.23190199195832,127.64355685397743,-75.4116548620191,0.6170212765957447,0.518796992481203,170.0,166,243.0,246,4.0,False
P13,trial_2_L_unaffected,78.16799476513678,130.4767281951822,-52.30873343004542,0.0,0.6212471131639723,207.0,205,295.0,302,7.0,False
P13,trial_30_L_unaffected,80.69705570032183,119.55090929366854,-38.85385359334671,0.0,0.37866666666666665,195.0,185,256.0,245,11.0,False
P13,trial_31_L_unaffected,75.60756074042686,127.73752764199219,-52.129966901565325,0.0,0.33980582524271846,191.0,189,241.0,262,21.0,False
P13,trial_32_L_unaffected,73.666412492733,123.47541909783223,-49.80900660509923,0.0,0.306282722513089,172.0,153,230.0,240,19.0,False
P13,trial_33_L_unaffected,80.18236182706728,127.05565302724487,-46.87329120017759,0.0,0.3333333333333333,181.0,176,246.0,261,15.0,False
P13,trial_34_L_unaffected,80.58043440685339,124.65720351260592,-44.07676910575253,0.0,0.3014705882352941,172.0,167,229.0,233,5.0,False
P13,trial_35_L_unaffected,71.31602075934272,125.41550601658051,-54.09948525723779,0.0,0.3105263157894737,182.0,172,228.0,232,10.0,False
P13,trial_36_L_unaffected,79.07815200234373,121.48235162378248,-42.40419962143875,0.0,0.29310344827586204,160.0,162,220.0,239,19.0,False
P13,trial_37_L_unaffected,68.63869057908762,124.78992369562044,-56.15123311653282,0.0,0.29365079365079366,167.0,160,222.0,240,18.0,False
P13,trial_38_L_unaffected,73.35822191084308,126.2090409405455,-52.85081902970242,0.0,0.31971153846153844,174.0,173,238.0,251,13.0,False
P13,trial_39_L_unaffected,72.50009286471266,126.27947380668054,-53.77938094196789,0.0,0.2926208651399491,161.0,162,212.0,231,19.0,False
P13,trial_3_L_unaffected,74.43280928642852,132.38691676357752,-57.954107477148995,0.0,0.38461538461538464,222.0,214,266.0,285,19.0,False
P13,trial_40_L_unaffected,75.56017337480569,123.40605835209679,-47.84588497729111,0.0,0.32057416267942584,177.0,169,250.0,260,10.0,False
P13,trial_41_R_affected,67.01167436401632,117.57913252669935,-50.56745816268304,1.0,1.0,181.0,180,262.0,269,7.0,False
P13,trial_42_R_affected,58.658693596977734,116.50792854235279,-57.84923494537505,0.043010752688172046,0.6941431670281996,185.0,188,253.0,267,14.0,False
P13,trial_43_R_affected,70.18519752847286,128.08472657241157,-57.89952904393871,1.0,1.0,184.0,183,266.0,275,9.0,False
P13,trial_44_R_affected,69.84345346276139,126.60350954296308,-56.76005608020169,1.0,1.0,171.0,170,246.0,250,4.0,False
P13,trial_45_R_affected,67.55569596564375,125.3034566978459,-57.74776073220215,1.0,0.940149625935162,183.0,181,247.0,251,4.0,False
P13,trial_46_R_affected,64.64378445663814,121.15011459580722,-56.50633013916908,1.0,1.0,176.0,172,245.0,252,7.0,False
P13,trial_47_R_affected,67.9421843968718,121.90379495375791,-53.961610556886114,1.0,1.0,197.0,186,284.0,290,11.0,False
P13,trial_48_R_affected,62.88397105989152,119.34404642571884,-56.46007536582732,1.0,1.0,223.0,221,295.0,316,21.0,False
P13,trial_49_R_affected,67.25303089150927,119.76797294834782,-52.51494205683855,1.0,1.0,181.0,168,235.0,237,13.0,False
P13,trial_4_L_unaffected,74.50235330537187,133.00532221168044,-58.50296890630857,0.0,0.32873563218390806,194.0,192,274.0,290,16.0,False
P13,trial_50_R_affected,63.87194904787902,112.27497564976039,-48.40302660188137,1.0,1.0,182.0,180,267.0,268,2.0,False
P13,trial_51_R_affected,63.49250770085233,116.34936040511971,-52.85685270426738,1.0,1.0,174.0,165,261.0,264,9.0,False
P13,trial_53_R_affected,65.53540978663824,113.55074109830835,-48.01533131167011,1.0,1.0,181.0,183,254.0,274,20.0,False
P13,trial_54_R_affected,68.04584985174766,116.44041689296746,-48.3945670412198,1.0,1.0,176.0,171,244.0,251,7.0,False
