part,k,subset,cov,err_wr,err_el,err_sh
P07,2,12,40.72708511352539,26.016673880618185,52.08150469063318,38.01215952864205
P07,2,13,45.72364807128906,24.838063065644462,46.74373399673945,40.0319403247555
P07,2,14,80.72357177734375,23.700103721344025,52.46773249484986,50.95722489787756
P07,2,23,10.890088081359863,31.465521332965352,61.90576656116944,45.249643422807765
P07,2,24,42.33165740966797,23.146222972301437,52.71541510933158,50.69602747721287
P07,2,34,35.06327438354492,25.367413751049845,47.18467249815649,50.78481385092419
P07,3,12,40.72708511352539,26.02235579612551,54.45842880746776,31.561035494529044
P07,3,13,45.72364807128906,23.75070746856458,45.59959215800231,33.47619228529407
P07,3,14,80.72357177734375,21.36955517210835,50.59250748908848,44.367081177781714
P07,3,23,10.890088081359863,24.624134675176634,47.24063577209248,31.39852208259277
P07,3,24,42.33165740966797,22.06642994655052,49.04398977069685,37.86318226386192
P07,3,34,35.06327438354492,24.38572738990872,40.82456331555958,38.01097816464517
P07,3,123,32.44694137573242,22.580348268620032,49.0658611208277,38.82480954069165
P07,3,124,54.5941047668457,21.468340547529856,51.62106795796344,46.70400653286725
P07,3,134,53.83683395385742,23.2454227470976,47.36123670031575,44.1529373963788
P07,3,234,29.4283390045166,23.49113858463141,49.69782868942035,49.86674792542544
P07,4,123,32.44694137573242,22.592094118418448,48.45040053428753,32.902355332992855
P07,4,124,54.5941047668457,20.78942519435236,50.81963182410544,38.73480020585414
P07,4,134,53.83683395385742,22.41560423414286,45.42271627840568,38.53851190774763
P07,4,234,29.4283390045166,22.64003201293512,46.25297088502948,37.22284362951813
P07,4,1234,42.57655715942383,21.874518850969796,48.9416846285973,44.38657244088397
P07,5,1234,42.57655715942383,21.338575038154225,47.738947110685736,37.73041070073352
P07,2,1,,32.22585638696434,58.76288011717533,33.088360533205694
P07,2,2,,29.901623491705607,46.593900271263855,26.07823796739113
P07,2,3,,33.01769612651928,34.15215765499621,26.327205387443374
P07,2,4,,40.27540657606381,46.68553625815395,76.16161602919952
P07,2,12,40.72708511352539,27.077973750891648,46.87043530628441,35.077212573488524
P07,2,13,45.72364807128906,32.447050353146025,35.44114802506479,34.53406033192396
P07,2,14,80.72357177734375,22.18140837514585,47.85810166505453,49.27376334045428
P07,2,23,10.890088081359863,57.769482243644006,67.15500211147358,44.9403255802908
P07,2,24,42.33165740966797,23.093479651622545,48.96469311508397,53.07565619282762
P07,2,34,35.06327438354492,33.45389393191843,43.80343162244689,52.84835057665758
P07,3,12,40.72708511352539,28.0085261759348,51.46440207621539,30.866803765269804
P07,3,13,45.72364807128906,25.56439977702233,38.39839180514374,28.88964937963889
P07,3,14,80.72357177734375,19.234477908710037,48.19506310009268,42.879739486255794
P07,3,23,10.890088081359863,28.896206710546178,39.69443010291267,26.552101812821096
