part,cond,fstd,r_raw,pert_std,r_shrink
P08,affected,3.68756036036093,0.8666431022988167,0.005220855258532816,0.5214907472966694
P08,affected,3.91138777729339,0.8363977226132305,0.005709487672450135,0.5266074576973143
P08,affected,4.562370946125894,0.885583990535413,0.005207271847867702,0.6182623473453861
P08,affected,3.517967941080212,0.8257173861941746,0.006513443156457258,0.4780647732288155
P08,affected,3.7166012166550777,0.903956893674496,0.004941416387581491,0.5473370888726736
P08,affected,4.054473161274489,0.9263790502448238,0.0033950798015708493,0.5986345425552068
P08,affected,4.11955421776571,0.8810626853315306,0.004528645847987225,0.5757356845779447
P08,affected,3.723408779516697,0.847998839004632,0.00597266245179244,0.5141961209984598
P08,affected,3.937715045720777,0.8356660186467763,0.005299509810913931,0.5287568127941007
P08,affected,3.481495777564726,0.8909222118874206,0.0040893453971923765,0.5112824714931435
P08,affected,3.01033994802836,0.7259859911045361,0.009330800836257312,0.3642419490665989
P08,affected,4.39241366014009,0.9742687927847821,0.0018433530890047212,0.6643572650127799
P08,affected,3.8612812608409275,0.8459614401117593,0.005283192502373486,0.5275250362589287
P08,affected,4.699170819965813,0.906084154981698,0.003221187693085884,0.6437231986472132
P10,unaffected,8.611979707105899,0.9750428488228905,0.0010360286634015813,0.8695265907478597
P10,unaffected,7.96264493239184,0.9876805579402858,0.0008590499929737287,0.864908886555362
P10,unaffected,7.9606487344031205,0.9781740494415074,0.001275768537415804,0.856530662908829
P10,unaffected,7.951534246339156,0.9806022987940985,0.0011273779203603063,0.8584120750475968
P10,unaffected,7.864156485825886,0.9853902114898533,0.0009584276638925999,0.8602082331286904
P10,unaffected,8.763118520136114,0.9739505505168812,0.0009854444022120005,0.8717786720183658
P10,unaffected,8.235801437357518,0.9801910280574833,0.0010214397981606158,0.8653673906305637
P10,unaffected,8.275807792486754,0.986181445039596,0.0009457022632851524,0.8716408828721589
P10,unaffected,7.321135855428888,0.9827250825705884,0.0010230306965931045,0.8414365400332761
P10,unaffected,7.428309768473745,0.9803697821466867,0.0010257105841947958,0.8428914796003802
P10,unaffected,8.425472122237073,0.9873851064142983,0.0008130607492145518,0.876288423561395
P10,unaffected,8.919688237887238,0.9594456940894373,0.0014078700510461552,0.861941973298693
P10,unaffected,7.896594149920931,0.970920828261942,0.001180342260473774,0.8484607258997783
P10,unaffected,8.436895017147094,0.9838900617430434,0.0008312916076461221,0.8734525673125774
P10,unaffected,8.103084735093708,0.9853123759246121,0.0009795397144519006,0.8665364116241816
P10,unaffected,9.185002726449072,0.9710184418474984,0.0011464628828500726,0.877415551784005
P10,unaffected,7.581199599439027,0.9790413802235204,0.0010722599357215236,0.8464888850357485
P10,unaffected,8.687097750056203,0.9799881068365849,0.0012192027584513885,0.8755682491420256
P10,unaffected,8.00398765265322,0.9784626170952861,0.0010476076329219743,0.8579356072363523
