part,trial,cond,measure,mmc,automq
P07,trial_15_L_unaffected,miscal2,interjoint_coordination,0.9768729922492755,0.9434220911095781
P07,trial_15_L_unaffected,miscal2,max_shoulder_abduction,25.634678842975063,28.337440606051725
P07,trial_15_L_unaffected,miscal2,number_of_movement_units,1.8,2.0
P07,trial_15_L_unaffected,miscal2,max_shoulder_flexion,55.19631541984855,59.02507750387635
P07,trial_15_L_unaffected,miscal4,max_trunk_displacement,41.7750201140641,30.219970703125
P07,trial_15_L_unaffected,miscal4,peak_elbow_angular_velocity,120.6200511236621,102.0622269268344
P07,trial_15_L_unaffected,miscal4,total_movement_time,6.216666666666667,6.23
P07,trial_15_L_unaffected,miscal4,time_to_first_peak_velocity,0.5999999999999999,0.62
P07,trial_15_L_unaffected,miscal4,time_to_peak_velocity,0.6200000000000001,0.62
P07,trial_15_L_unaffected,miscal4,max_elbow_angle,148.32268629252826,146.3124310945136
P07,trial_15_L_unaffected,miscal4,peak_velocity,562.6688781738281,625.3638198967247
P07,trial_15_L_unaffected,miscal4,interjoint_coordination,0.9770059702301689,0.9434220911095781
P07,trial_15_L_unaffected,miscal4,max_shoulder_abduction,25.485649452004008,28.337440606051725
P07,trial_15_L_unaffected,miscal4,number_of_movement_units,1.8,2.0
P07,trial_15_L_unaffected,miscal4,max_shoulder_flexion,55.36544457155983,59.02507750387635
P07,trial_17_L_unaffected,full,max_shoulder_flexion,60.63818931731227,65.61415771994267
P07,trial_17_L_unaffected,full,max_shoulder_abduction,32.156849715757794,36.158291940570976
P07,trial_17_L_unaffected,full,max_elbow_angle,151.78739532151326,149.15734107383895
P07,trial_17_L_unaffected,full,peak_elbow_angular_velocity,130.07359761570768,112.31554161861084
P07,trial_17_L_unaffected,full,interjoint_coordination,0.9543982192894175,0.9092118900512809
P07,trial_17_L_unaffected,full,max_trunk_displacement,45.037491259838184,33.247314453125
P07,trial_17_L_unaffected,full,peak_velocity,579.9017944335938,571.8108195393643
P07,trial_17_L_unaffected,full,total_movement_time,6.433333333333334,6.44
P07,trial_17_L_unaffected,full,time_to_peak_velocity,1.25,1.25
P07,trial_17_L_unaffected,full,time_to_first_peak_velocity,1.2166666666666666,1.25
P07,trial_17_L_unaffected,full,number_of_movement_units,2.0,4.0
P07,trial_17_L_unaffected,drop1,max_trunk_displacement,45.1682882763173,33.247314453125
P07,trial_17_L_unaffected,drop1,peak_elbow_angular_velocity,131.04289488676446,112.31554161861084
P07,trial_17_L_unaffected,drop1,total_movement_time,6.4333333333333345,6.44
P07,trial_17_L_unaffected,drop1,time_to_first_peak_velocity,1.23,1.25
P07,trial_17_L_unaffected,drop1,time_to_peak_velocity,1.22,1.25
P07,trial_17_L_unaffected,drop1,max_elbow_angle,151.68734349716834,149.15734107383895
P07,trial_17_L_unaffected,drop1,peak_velocity,630.0175659179688,571.8108195393643
P07,trial_17_L_unaffected,drop1,interjoint_coordination,0.9544079912580244,0.9092118900512809
P07,trial_17_L_unaffected,drop1,max_shoulder_abduction,31.636928743451666,36.158291940570976
P07,trial_17_L_unaffected,drop1,number_of_movement_units,2.0,4.0
P07,trial_17_L_unaffected,drop1,max_shoulder_flexion,60.14562666173714,65.61415771994267
P07,trial_17_L_unaffected,min2,max_trunk_displacement,48.17969151079667,33.247314453125
P07,trial_17_L_unaffected,min2,peak_elbow_angular_velocity,151.5174753739878,112.31554161861084
P07,trial_17_L_unaffected,min2,total_movement_time,6.4333333333333345,6.44
P07,trial_17_L_unaffected,min2,time_to_first_peak_velocity,1.2416666666666667,1.25
P07,trial_17_L_unaffected,min2,time_to_peak_velocity,1.27,1.25
P07,trial_17_L_unaffected,min2,max_elbow_angle,152.30560549049633,149.15734107383895
P07,trial_17_L_unaffected,min2,peak_velocity,900.1934875488281,571.8108195393643
P07,trial_17_L_unaffected,min2,interjoint_coordination,0.9227952447613678,0.9092118900512809
P07,trial_17_L_unaffected,min2,max_shoulder_abduction,29.60683072286592,36.158291940570976
P07,trial_17_L_unaffected,min2,number_of_movement_units,1.9,4.0
P07,trial_17_L_unaffected,min2,max_shoulder_flexion,56.1801535740531,65.61415771994267
P07,trial_17_L_unaffected,miscal2,max_trunk_displacement,45.0375634213085,33.247314453125
P07,trial_17_L_unaffected,miscal2,peak_elbow_angular_velocity,130.36506406772068,112.31554161861084
P07,trial_17_L_unaffected,miscal2,total_movement_time,6.4333333333333345,6.44
P07,trial_17_L_unaffected,miscal2,time_to_first_peak_velocity,1.221666666666667,1.25
P07,trial_17_L_unaffected,miscal2,time_to_peak_velocity,1.25,1.25
P07,trial_17_L_unaffected,miscal2,max_elbow_angle,151.80115811054895,149.15734107383895
P07,trial_17_L_unaffected,miscal2,peak_velocity,578.5638549804687,571.8108195393643
P07,trial_17_L_unaffected,miscal2,interjoint_coordination,0.9546200965807635,0.9092118900512809
P07,trial_17_L_unaffected,miscal2,max_shoulder_abduction,32.007751588910104,36.158291940570976
P07,trial_17_L_unaffected,miscal2,number_of_movement_units,1.9,4.0
P07,trial_17_L_unaffected,miscal2,max_shoulder_flexion,60.79919709461734,65.61415771994267
P07,trial_17_L_unaffected,miscal4,max_trunk_displacement,45.03524270461129,33.247314453125
P07,trial_17_L_unaffected,miscal4,peak_elbow_angular_velocity,130.60559356337387,112.31554161861084
P07,trial_17_L_unaffected,miscal4,total_movement_time,6.4333333333333345,6.44
P07,trial_17_L_unaffected,miscal4,time_to_first_peak_velocity,1.22,1.25
P07,trial_17_L_unaffected,miscal4,time_to_peak_velocity,1.2549999999999997,1.25
P07,trial_17_L_unaffected,miscal4,max_elbow_angle,151.83218350031694,149.15734107383895
P07,trial_17_L_unaffected,miscal4,peak_velocity,577.6805725097656,571.8108195393643
P07,trial_17_L_unaffected,miscal4,interjoint_coordination,0.954918416241253,0.9092118900512809
P07,trial_17_L_unaffected,miscal4,max_shoulder_abduction,31.832209352382954,36.158291940570976
