part,trial,side,mmc_abd,omc_world,omc_body
P08,87,L,35.127792030651705,38.25937497179872,42.82518434280141
P08,88,L,32.6519705404851,36.00973500769775,40.45046288884524
P08,89,L,35.77972046634547,40.295447085209624,43.144204335090265
P08,9,R,25.779693571361836,37.33242656765735,31.935405870052474
P10,10,R,32.892749149647,47.91459357908406,32.06918677000747
P10,11,R,35.52945909465524,49.38668908763514,31.40473473940383
P10,12,R,29.9441173048435,42.3446635072422,31.012547312998628
P10,13,R,30.871231495770104,42.283603951943526,31.35066265316713
P10,14,R,29.417118550757483,40.39292627217009,30.091399475148588
P10,15,R,31.802932019810417,42.09489069319713,30.896101702461063
P10,16,R,31.542730561216423,44.59617029931975,31.960559724973457
P10,17,R,32.56718772213374,47.52266672909696,32.881246259229954
P10,18,R,31.119314460701503,44.653344520856734,32.14977321534111
P10,19,R,32.80299083481506,47.02300214116637,33.309015582017985
P10,1,R,32.16802574637618,42.990625909127026,30.65420368716336
P10,23,R,39.84490124455154,43.267763979304206,31.28082890373325
P10,24,R,31.835289672275422,42.839517132594786,29.82495816803403
P10,25,R,30.212749156640708,41.83035029602872,30.132228671914607
P10,26,R,30.232646923565618,46.40435056921499,31.124152338999664
P10,27,R,32.406642635060905,45.96897243688073,31.513810379571876
P10,28,R,32.677593411446054,49.45076348029546,32.579371139148805
P10,2,R,39.16546684818842,53.606828154699095,36.64761090815902
P10,31,R,30.923690887735503,39.9285184612501,31.957970001836436
P10,32,R,32.988734601085774,40.911183585568615,32.236907085236716
P10,33,R,30.717142828525922,41.34957028195807,31.8195378230845
P10,34,R,32.165376965848715,42.14296153979763,33.158911365714594
P10,35,R,33.752517551251756,39.63169342994213,30.303486734823615
P10,36,R,31.37092944451408,39.62008598867652,29.937855415391656
P10,37,R,28.019046747021992,37.000977906551114,28.10256089612305
P10,38,R,27.693831574408517,41.82395518655249,30.055832764353156
