part,hip_vis,tilt,flex_mmc,flex_omc,gt
P10,0.5431578947368421,0.937607984374592,49.64672142361257,49.42577772725235,43.620948920381174
P10,0.40380549682875266,0.7004561476362529,51.04386073189808,50.426606678354254,44.07107594359013
P10,0.5748898678414097,0.8232679749761791,51.282168989235956,50.59140134724534,44.85127116572266
P10,0.6072234762979684,2.2726426058629947,51.83628633060035,50.76026193775344,43.1624038210069
P10,0.44222222222222224,3.3244434621392616,54.07434129903507,51.807397287743136,43.87742779316196
P10,0.5626373626373626,2.134136206874385,53.920789228653305,52.592835041346596,43.73451012070819
P10,0.3082039911308204,2.440465204154816,52.75479847540476,50.964858666335026,45.567285066173675
P10,0.37154989384288745,0.3580490945165016,50.758131707527355,50.41278113039838,44.82719627248003
P10,0.4582392776523702,0.788445772028325,50.263707363566986,49.87280322432719,44.25268406394563
P10,0.90625,1.6696311799633687,50.04714872338973,48.61074325331942,43.873369917162556
P10,0.37393162393162394,2.851294135926874,52.08187005753668,49.72340152794576,44.78231100103208
P10,0.3023758099352052,1.441295704418383,50.562385130009424,49.126396000419106,44.02772409297112
P10,0.37393162393162394,1.1808858410178984,51.03936897575016,51.24816601233527,44.4327041146236
P10,0.5596330275229358,1.2952913205569987,48.935672865892194,49.10764955012095,42.726032209487286
P10,0.8735177865612648,1.921912509272722,51.50925849139966,49.616802204651314,44.08631888150353
P10,0.8599562363238512,1.5083711763462864,52.72477233397844,51.28560983041672,46.85523574410341
P12,0.9739130434782609,8.038745199738056,55.88041110337414,63.33661805853184,56.92018858575308
P12,0.9436619718309859,7.379295333063213,54.68079381031346,61.30158461969497,55.74839479351327
P12,0.9789473684210527,7.918118032180777,52.377661410652486,59.68564460627949,53.88282140840557
P12,1.0,8.897732374812515,53.728382214473456,62.1434594414659,57.27878952100867
P12,1.0,8.19759717465288,55.16598766794475,62.70505532619702,57.88389780984061
P12,0.981029810298103,8.359535330127802,53.44253974729457,61.28652236377327,56.49007220480915
P12,0.9631728045325779,7.821326005144794,53.25043352420096,60.67010585777237,54.99936277316966
P12,1.0,8.619348029116965,56.91097361546058,65.02767211820917,58.67638203039401
